"","school","city","stateProvince","country","schoolcitystate","schoolcitystate2","lon","lat"
"1242","South San Francisco","South San Francisco","CA","USA","South San Francisco, South San Francisco, CA","South San Francisco, South San Francisco, CA",-122.4077498,37.654656
"1243","South Tahoe","South Lake Tahoe","CA","USA","South Tahoe, South Lake Tahoe, CA","South Tahoe, South Lake Tahoe, CA",-119.9771868,38.939926
"1244","St Anthony","Long Beach","CA","USA","St Anthony, Long Beach, CA","St Anthony, Long Beach, CA",-118.18191,33.773604
"1245","St Augustine","San Diego","CA","USA","St Augustine, San Diego, CA","St Augustine, San Diego, CA",-117.1246211,32.7354175
"1246","St Francis Central Coast Catholic","Watsonville","CA","USA","St Francis Central Coast Catholic, Watsonville, CA","St Francis Central Coast Catholic, Watsonville, CA",-121.7403299,36.9401097
"1247","St Genevieve","Panorama City","CA","USA","St Genevieve, Panorama City, CA","St Genevieve, Panorama City, CA",-118.4401006,34.2220225
"1248","St Joseph","Santa Maria","CA","USA","St Joseph, Santa Maria, CA","St Joseph, Santa Maria, CA",-120.417668,34.8819497
"1249","St Mary's College","Albany","CA","USA","St Mary's College, Albany, CA","St Mary's College, Albany, CA",-122.2835893,37.8829087
"1250","St Mary's College","Berkeley","CA","USA","St Mary's College, Berkeley, CA","St Mary's College, Berkeley, CA",-122.2835893,37.8829087
"1251","St Monica Catholic","Santa Monica","CA","USA","St Monica Catholic, Santa Monica, CA","St Monica Catholic, Santa Monica, CA",-118.4972528,34.0232659
"1252","St Thomas More School","SACRAMENTO","CA","USA","St Thomas More School, SACRAMENTO, CA","St Thomas More School, SACRAMENTO, CA",-94.5855784,38.9132628
"1253","St. Augustine","San Diego","CA","USA","St. Augustine, San Diego, CA","St. Augustine, San Diego, CA",-117.1246211,32.7354175
"1254","St. Bernard","Playa Del Rey","CA","USA","St. Bernard, Playa Del Rey, CA","St. Bernard, Playa Del Rey, CA",-118.4328237,33.95429
"1255","St. Bonaventure","Ventura","CA","USA","St. Bonaventure, Ventura, CA","St. Bonaventure, Ventura, CA",-119.2539496,34.2730499
"1256","St. Francis","La Canada Flintridge","CA","USA","St. Francis, La Canada Flintridge, CA","St. Francis, La Canada Flintridge, CA",-118.1824548,34.1959111
"1257","St. Francis","Mountain View","CA","USA","St. Francis, Mountain View, CA","St. Francis, Mountain View, CA",-122.0863279,37.3696625
"1258","St. Francis","Sacramento","CA","USA","St. Francis, Sacramento, CA","St. Francis, Sacramento, CA",-121.4296364,38.5589892
"1259","St. Ignatius College Preparatory","San Francisco","CA","USA","St. Ignatius College Preparatory, San Francisco, CA","St. Ignatius College Preparatory, San Francisco, CA",-122.4959313,37.7480695
"1260","St. John Bosco","Bellflower","CA","USA","St. John Bosco, Bellflower, CA","St. John Bosco, Bellflower, CA",-118.123248,33.9066078
"1261","St. John Bosco","Danville","CA","USA","St. John Bosco, Danville, CA","St. John Bosco, Danville, CA",-118.123248,33.9066078
"1262","St. John Bosco","Fontana","CA","USA","St. John Bosco, Fontana, CA","St. John Bosco, Fontana, CA",-118.123248,33.9066078
"1263","St. John Bosco","Lakewood","CA","USA","St. John Bosco, Lakewood, CA","St. John Bosco, Lakewood, CA",-118.123248,33.9066078
"1264","St. John Bosco","Redlands","CA","USA","St. John Bosco, Redlands, CA","St. John Bosco, Redlands, CA",-117.1717942,34.1073498
"1265","St. John Bosco","Redondo Beach","CA","USA","St. John Bosco, Redondo Beach, CA","St. John Bosco, Redondo Beach, CA",-118.3884078,33.8491816
"1266","St. Margaret's Episcopal School","San Juan Capistrano","CA","USA","St. Margaret's Episcopal School, San Juan Capistrano, CA","St. Margaret's Episcopal School, San Juan Capistrano, CA",-117.6507716,33.5041925
"1267","St. Mary's","Albany","CA","USA","St. Mary's, Albany, CA","St. Mary's, Albany, CA",-122.2835893,37.8829087
"1268","St. Mary's","Stockton","CA","USA","St. Mary's, Stockton, CA","St. Mary's, Stockton, CA",-121.3063772,38.0037648
"1269","St. Mary's College HS","Albany","CA","USA","St. Mary's College HS, Albany, CA","St. Mary's College HS, Albany, CA",-122.2835893,37.8829087
"1270","St. Patrick-St. Vincent","Vallejo","CA","USA","St. Patrick-St. Vincent, Vallejo, CA","St. Patrick-St. Vincent, Vallejo, CA",-122.2018305,38.0866127
"1271","St. Paul","Santa Fe Springs","CA","USA","St. Paul, Santa Fe Springs, CA","St. Paul, Santa Fe Springs, CA",-118.053539,33.95116
"1272","St. Pius X-St. Matthias Academy","Los Angeles","CA","USA","St. Pius X-St. Matthias Academy, Los Angeles, CA","St. Pius X-St. Matthias Academy, Los Angeles, CA",-118.1592084,33.9193403
"1273","St. Thomas Aquinas","Ontario","CA","USA","St. Thomas Aquinas, Ontario, CA","St. Thomas Aquinas, Ontario, CA",-118.1412969,34.0453532
"1274","St. Thomas More","Sacramento","CA","USA","St. Thomas More, Sacramento, CA","St. Thomas More, Sacramento, CA",-121.4812883,38.4771622
"1275","Stagg Senior","Stockton","CA","USA","Stagg Senior, Stockton, CA","Stagg Senior, Stockton, CA",-121.3230151,37.9846931
"1276","Stanford New School","Menlo Park","CA","USA","Stanford New School, Menlo Park, CA","Stanford New School, Menlo Park, CA",-122.160777,37.4701728
"1277","Steele Canyon","Spring Valley","CA","USA","Steele Canyon, Spring Valley, CA","Steele Canyon, Spring Valley, CA",-116.9253185,32.7302065
"1278","Stellar Prep","Hayward","CA","USA","Stellar Prep, Hayward, CA","Stellar Prep, Hayward, CA",-122.0835526,37.6720721
"1279","Stockdale","Bakersfield","CA","USA","Stockdale, Bakersfield, CA","Stockdale, Bakersfield, CA",-119.078745,35.354139
"1280","Stockton Christian School","Stockton","CA","USA","Stockton Christian School, Stockton, CA","Stockton Christian School, Stockton, CA",-121.297576,38.029917
"1281","Summit","Fontana","CA","USA","Summit, Fontana, CA","Summit, Fontana, CA",-117.4642196,34.1481799
"1282","Sunnyside","Fresno","CA","USA","Sunnyside, Fresno, CA","Sunnyside, Fresno, CA",-119.6993068,36.7491167
"1283","Sylmar","Sylmar","CA","USA","Sylmar, Sylmar, CA","Sylmar, Sylmar, CA",-118.4571974,34.3058279
"1284","Taft","Woodland Hills","CA","USA","Taft, Woodland Hills, CA","Taft, Woodland Hills, CA",-118.5713076,34.169657
"1285","Tehachapi","Tehachapi","CA","USA","Tehachapi, Tehachapi, CA","Tehachapi, Tehachapi, CA",-118.4489739,35.1321877
"1286","Temecula Valley","Temecula","CA","USA","Temecula Valley, Temecula, CA","Temecula Valley, Temecula, CA",-117.1405868,33.4739175
"1287","Temescal Canyon","Lake Elsinore","CA","USA","Temescal Canyon, Lake Elsinore, CA","Temescal Canyon, Lake Elsinore, CA",-117.3476965,33.70298
"1288","Temple City","Temple City","CA","USA","Temple City, Temple City, CA","Temple City, Temple City, CA",-118.0578456,34.1072305
"1289","Templeton","Templeton","CA","USA","Templeton, Templeton, CA","Templeton, Templeton, CA",-120.7060049,35.5496939
"1290","Terra Linda","San Rafael","CA","USA","Terra Linda, San Rafael, CA","Terra Linda, San Rafael, CA",-122.5497,38.0040892
"1291","Terra Nova","Pacifica","CA","USA","Terra Nova, Pacifica, CA","Terra Nova, Pacifica, CA",-122.4761369,37.5946419
"1292","Tesoro","Rancho Santa Margarita","CA","USA","Tesoro, Rancho Santa Margarita, CA","Tesoro, Rancho Santa Margarita, CA",-117.6123197,33.5809512
"1293","The Bishop's School","La Jolla","CA","USA","The Bishop's School, La Jolla, CA","The Bishop's School, La Jolla, CA",-117.2788749,32.841381
"1294","The Classical Academy","Escondido","CA","USA","The Classical Academy, Escondido, CA","The Classical Academy, Escondido, CA",-117.0554159,33.0839794
"1295","The Harker School","San Jose","CA","USA","The Harker School, San Jose, CA","The Harker School, San Jose, CA",-121.9690038,37.3136246
"1296","The King's Academy","Sunnyvale","CA","USA","The King's Academy, Sunnyvale, CA","The King's Academy, Sunnyvale, CA",-122.0119517,37.3864811
"1297","Thomas Downey","Modesto","CA","USA","Thomas Downey, Modesto, CA","Thomas Downey, Modesto, CA",-120.9749834,37.6571353
"1298","Thomas Jefferson","Los Angeles","CA","USA","Thomas Jefferson, Los Angeles, CA","Thomas Jefferson, Los Angeles, CA",-118.2509135,34.0095596
"1299","Thomas Jefferson Senior","Los Angeles","CA","USA","Thomas Jefferson Senior, Los Angeles, CA","Thomas Jefferson Senior, Los Angeles, CA",-118.2509135,34.0095596
"1300","Thousand Oaks","Thousand Oaks","CA","USA","Thousand Oaks, Thousand Oaks, CA","Thousand Oaks, Thousand Oaks, CA",-118.8375937,34.1705609
"1301","Torrance West","Torrance","CA","USA","Torrance West, Torrance, CA","Torrance West, Torrance, CA",-118.3622528,33.8512619
"1302","Torrey Pines","Encinitas","CA","USA","Torrey Pines, Encinitas, CA","Torrey Pines, Encinitas, CA",-117.2546215,32.9177291
"1303","Trabuco Hills","Mission Viejo","CA","USA","Trabuco Hills, Mission Viejo, CA","Trabuco Hills, Mission Viejo, CA",-117.652071,33.6538787
"1304","Tracy","Tracy","CA","USA","Tracy, Tracy, CA","Tracy, Tracy, CA",-121.4260018,37.7395818
"1305","Troy","Fullerton","CA","USA","Troy, Fullerton, CA","Troy, Fullerton, CA",-117.8940664,33.8803455
"1306","Tulare Union","Tulare","CA","USA","Tulare Union, Tulare, CA","Tulare Union, Tulare, CA",-119.3391767,36.2085988
"1307","Tulare Western","Tulare","CA","USA","Tulare Western, Tulare, CA","Tulare Western, Tulare, CA",-119.3594167,36.2157136
"1308","Turlock","Turlock","CA","USA","Turlock, Turlock, CA","Turlock, Turlock, CA",-120.8459786,37.4945743
"1309","Tustin","Tustin","CA","USA","Tustin, Tustin, CA","Tustin, Tustin, CA",-117.8236391,33.7420005
"1310","Union Mine","El Dorado","CA","USA","Union Mine, El Dorado, CA","Union Mine, El Dorado, CA",-120.8400224,38.676352
"1311","Univ Of San Diego HS","San Diego","CA","USA","Univ Of San Diego HS, San Diego, CA","Univ Of San Diego HS, San Diego, CA",-117.2057846,32.8610159
"1312","University","Irvine","CA","USA","University, Irvine, CA","University, Irvine, CA",-117.8105295,33.6539343
"1313","University City","San Diego","CA","USA","University City, San Diego, CA","University City, San Diego, CA",-117.2054294,32.8577324
"1314","University Senior","Los Angeles","CA","USA","University Senior, Los Angeles, CA","University Senior, Los Angeles, CA",-118.4601474,34.0461698
"1315","Upland","Sherman Oaks","CA","USA","Upland, Sherman Oaks, CA","Upland, Sherman Oaks, CA",-117.6350502,34.096417
"1316","Upland","Upland","CA","USA","Upland, Upland, CA","Upland, Upland, CA",-117.6483876,34.09751
"1317","Vacaville","Vacaville","CA","USA","Vacaville, Vacaville, CA","Vacaville, Vacaville, CA",-121.9877444,38.3565773
"1318","Valencia","Placentia","CA","USA","Valencia, Placentia, CA","Valencia, Placentia, CA",-117.8672439,33.8775738
"1319","Valencia","Valencia","CA","USA","Valencia, Valencia, CA","Valencia, Valencia, CA",-118.5713823,34.456151
"1320","Valhalla","El Cajon","CA","USA","Valhalla, El Cajon, CA","Valhalla, El Cajon, CA",-116.921179,32.760675
"1321","Vallejo","Vallejo","CA","USA","Vallejo, Vallejo, CA","Vallejo, Vallejo, CA",-122.2566367,38.1040864
"1322","Valley","Sacramento","CA","USA","Valley, Sacramento, CA","Valley, Sacramento, CA",-121.4031116,38.6202229
"1323","Valley Center","Valley Center","CA","USA","Valley Center, Valley Center, CA","Valley Center, Valley Center, CA",-117.0341967,33.2183701
"1324","Valley Christian","Cerritos","CA","USA","Valley Christian, Cerritos, CA","Valley Christian, Cerritos, CA",-118.1037017,33.8708716
"1325","Valley Christian","San Jose","CA","USA","Valley Christian, San Jose, CA","Valley Christian, San Jose, CA",-121.826706,37.276279
"1326","Valley View","Moreno Valley","CA","USA","Valley View, Moreno Valley, CA","Valley View, Moreno Valley, CA",-117.2187683,33.952137
"1327","Vanden","Fairfield","CA","USA","Vanden, Fairfield, CA","Vanden, Fairfield, CA",-121.9621472,38.2829609
"1328","Venice","Los Angeles","CA","USA","Venice, Los Angeles, CA","Venice, Los Angeles, CA",-118.4694832,33.9850469
"1329","Venice","Venice","CA","USA","Venice, Venice, CA","Venice, Venice, CA",-118.4694832,33.9850469
"1330","Ventura","Ventura","CA","USA","Ventura, Ventura, CA","Ventura, Ventura, CA",-119.2945199,34.2804923
"1331","Verbum Dei","Los Angeles","CA","USA","Verbum Dei, Los Angeles, CA","Verbum Dei, Los Angeles, CA",-118.2535799,33.9345258
"1332","Victor Valley","Victorville","CA","USA","Victor Valley, Victorville, CA","Victor Valley, Victorville, CA",-117.3787064,34.5839839
"1333","View Park Prep","Los Angeles","CA","USA","View Park Prep, Los Angeles, CA","View Park Prep, Los Angeles, CA",-118.33131,33.9945109
"1334","Villa Park","Villa Park","CA","USA","Villa Park, Villa Park, CA","Villa Park, Villa Park, CA",-117.8220723,33.8140062
"1335","Vintage","Napa","CA","USA","Vintage, Napa, CA","Vintage, Napa, CA",-122.364082,38.4031019
"1336","Vista","Vista","CA","USA","Vista, Vista, CA","Vista, Vista, CA",-117.2425355,33.2000368
"1337","Vista Murrieta","Murrieta","CA","USA","Vista Murrieta, Murrieta, CA","Vista Murrieta, Murrieta, CA",-117.1897541,33.5601444
"1338","Warren","Downey","CA","USA","Warren, Downey, CA","Warren, Downey, CA",-118.1403278,33.93615
"1339","Washington","Fremont","CA","USA","Washington, Fremont, CA","Washington, Fremont, CA",-121.9948276,37.5528198
"1340","Washington Union","Fresno","CA","USA","Washington Union, Fresno, CA","Washington Union, Fresno, CA",-119.7938469,36.6479448
"1341","West","Bakersfield","CA","USA","West, Bakersfield, CA","West, Bakersfield, CA",-119.0601659,35.343331
"1342","West Adams Prep","Los Angeles","CA","USA","West Adams Prep, Los Angeles, CA","West Adams Prep, Los Angeles, CA",-118.290149,34.03954
"1343","West Covina","West Covina","CA","USA","West Covina, West Covina, CA","West Covina, West Covina, CA",-117.9389526,34.0686208
"1344","West Hills","Santee","CA","USA","West Hills, Santee, CA","West Hills, Santee, CA",-117.0156853,32.8479481
"1345","West L A Baptist","Los Angeles","CA","USA","West L A Baptist, Los Angeles, CA","West L A Baptist, Los Angeles, CA",-118.4547005,34.0419564
"1346","West Mesquite","Compton","CA","USA","West Mesquite, Compton, CA","West Mesquite, Compton, CA",-115.1075,33.0213899
"1347","West Ranch","Stevenson Ranch","CA","USA","West Ranch, Stevenson Ranch, CA","West Ranch, Stevenson Ranch, CA",-118.5964556,34.4038867
"1348","West Valley","Cottonwood","CA","USA","West Valley, Cottonwood, CA","West Valley, Cottonwood, CA",-122.4054208,40.3964237
"1349","Westchester Senior","Los Angeles","CA","USA","Westchester Senior, Los Angeles, CA","Westchester Senior, Los Angeles, CA",-118.4173318,33.9586063
"1350","Western","Anaheim","CA","USA","Western, Anaheim, CA","Western, Anaheim, CA",-118.004421,33.8265249
"1351","Westlake","Thousand Oaks","CA","USA","Westlake, Thousand Oaks, CA","Westlake, Thousand Oaks, CA",-118.846663,34.145042
"1352","Westlake","Westlake Village","CA","USA","Westlake, Westlake Village, CA","Westlake, Westlake Village, CA",-118.8073729,34.1466467
"1353","Westminster","Westminster","CA","USA","Westminster, Westminster, CA","Westminster, Westminster, CA",-117.9897058,33.7591757
"1354","Westview","San Diego","CA","USA","Westview, San Diego, CA","Westview, San Diego, CA",-117.1485397,32.9670868
"1355","Wheatland Union","Wheatland","CA","USA","Wheatland Union, Wheatland, CA","Wheatland Union, Wheatland, CA",-121.4307099,39.0064708
"1356","Whitney","Rocklin","CA","USA","Whitney, Rocklin, CA","Whitney, Rocklin, CA",-121.2867884,38.8358742
"1357","Whittier Christian","Whittier","CA","USA","Whittier Christian, Whittier, CA","Whittier Christian, Whittier, CA",-118.0402851,33.9812678
"1358","Will C. Wood","Vacaville","CA","USA","Will C. Wood, Vacaville, CA","Will C. Wood, Vacaville, CA",-121.9777035,38.3466192
"1359","William Knight","Palmdale","CA","USA","William Knight, Palmdale, CA","William Knight, Palmdale, CA",-118.0079179,34.5642742
"1360","William S. Hart Senior","Newhall","CA","USA","William S. Hart Senior, Newhall, CA","William S. Hart Senior, Newhall, CA",-118.537107,34.3845283
"1361","Wilmer Amina Carter","Rialto","CA","USA","Wilmer Amina Carter, Rialto, CA","Wilmer Amina Carter, Rialto, CA",-117.4024989,34.1467774
"1362","Wilson","Long Beach","CA","USA","Wilson, Long Beach, CA","Wilson, Long Beach, CA",-118.140621,33.7768888
"1363","Wilson (lionel) College Preparatory Academy (chart","Oakland","CA","USA","Wilson (lionel) College Preparatory Academy (chart, Oakland, CA","Wilson (lionel) College Preparatory Academy (chart, Oakland, CA",-122.1800595,37.7296328
"1364","Windsor","Windsor","CA","USA","Windsor, Windsor, CA","Windsor, Windsor, CA",-122.8163802,38.5471327
"1365","Windward School","Los Angeles","CA","USA","Windward School, Los Angeles, CA","Windward School, Los Angeles, CA",-118.4261578,34.0174798
"1366","Woodbridge","Irvine","CA","USA","Woodbridge, Irvine, CA","Woodbridge, Irvine, CA",-117.7969843,33.6767481
"1367","Woodland","Woodland","CA","USA","Woodland, Woodland, CA","Woodland, Woodland, CA",-121.7732971,38.6785157
"1368","Woodrow Wilson Senior","Los Angeles","CA","USA","Woodrow Wilson Senior, Los Angeles, CA","Woodrow Wilson Senior, Los Angeles, CA",-118.1862623,34.0699853
"1369","Woodside","Redwood City","CA","USA","Woodside, Redwood City, CA","Woodside, Redwood City, CA",-122.2240622,37.467469
"1370","Xavier College Prep HS","Palm Desert","CA","USA","Xavier College Prep HS, Palm Desert, CA","Xavier College Prep HS, Palm Desert, CA",-116.3513172,33.7950916
"1371","Ygnacio Valley","Concord","CA","USA","Ygnacio Valley, Concord, CA","Ygnacio Valley, Concord, CA",-122.0532961,37.9768666
"1372","Yorba Linda","Yorba Linda","CA","USA","Yorba Linda, Yorba Linda, CA","Yorba Linda, Yorba Linda, CA",-117.8132571,33.8885035
"1373","Yosemite","Oakhurst","CA","USA","Yosemite, Oakhurst, CA","Yosemite, Oakhurst, CA",-119.6457583,37.3373417
"1374","Yuba City","Yuba City","CA","USA","Yuba City, Yuba City, CA","Yuba City, Yuba City, CA",-121.6169108,39.1404477
"1375","Yuba County Career Preparatory Charter","Marysville","CA","USA","Yuba County Career Preparatory Charter, Marysville, CA","Yuba County Career Preparatory Charter, Marysville, CA",-121.5919631,39.1472894
"1376","Yucaipa","Yucaipa","CA","USA","Yucaipa, Yucaipa, CA","Yucaipa, Yucaipa, CA",-117.0430865,34.033625
"1377",NA,"Birmingham","AL","USA","NA, Birmingham, AL","Birmingham, AL",-86.8103567,33.5185892
"1378",NA,"Boaz","AL","USA","NA, Boaz, AL","Boaz, AL",-86.1520969,34.2031662
"1379",NA,"Logan","AL","USA","NA, Logan, AL","Logan, AL",-87.0063949,34.1381565
"1380",NA,NA,"AL","USA","NA, NA, AL","AL",-86.902298,32.3182314
"1381",NA,"Notasulga","AL","USA","NA, Notasulga, AL","Notasulga, AL",-85.6724538,32.5606908
"1382",NA,"Selma","AL","USA","NA, Selma, AL","Selma, AL",-87.0211007,32.4073589
"1383",NA,"Tuscaloosa","AL","USA","NA, Tuscaloosa, AL","Tuscaloosa, AL",-87.5691735,33.2098407
"1384",NA,"Monticello","AR","USA","NA, Monticello, AR","Monticello, AR",-91.7909639,33.6289974
"1385",NA,"Morrilton","AR","USA","NA, Morrilton, AR","Morrilton, AR",-92.7440538,35.1509173
"1386",NA,"Gilbert","AZ","USA","NA, Gilbert, AZ","Gilbert, AZ",-111.789027,33.3528264
"1387",NA,NA,"AZ","USA","NA, NA, AZ","AZ",-111.0937311,34.0489281
"1388",NA,"Carson","CA","USA","NA, Carson, CA","Carson, CA",-118.281693,33.8316745
"1389",NA,"Chico","CA","USA","NA, Chico, CA","Chico, CA",-121.8374777,39.7284944
"1390",NA,"Indio","CA","USA","NA, Indio, CA","Indio, CA",-116.2155619,33.7205771
"1391",NA,NA,"CA","USA","NA, NA, CA","CA",-119.4179324,36.778261
"1392",NA,"Perris","CA","USA","NA, Perris, CA","Perris, CA",-117.2286478,33.7825194
"1393",NA,"Salinas","CA","USA","NA, Salinas, CA","Salinas, CA",-121.6555013,36.6777372
"1394",NA,"Visalia","CA","USA","NA, Visalia, CA","Visalia, CA",-119.2920585,36.3302284
